FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201706,30,0,33428,700794,"I","06/30/2017 00:00:00",,"F","Permanent Home",201706
201706,20,0,33580,702637,"D","06/20/2017 00:00:00",,"M","Mobile/Trailer Home",201706
201706,17,0,33579,702637,"D","06/17/2017 00:00:00",,"M","Under Tree",201706
201706,6,0,33512,707166,"D","06/06/2017 00:00:00",56,"F","Outside/Open Areas",201706
201706,3,0,33513,707167,"D","06/03/2017 00:00:00",39,"M","Outside/Open Areas",201706
201706,6,0,33514,707167,"I","06/06/2017 00:00:00",62,"M","Outside/Open Areas",201706
201706,6,0,33515,707167,"I","06/06/2017 00:00:00",49,"M","Outside/Open Areas",201706
201706,6,0,33516,707167,"D","06/06/2017 00:00:00",40,"M","Outside/Open Areas",201706
201706,9,0,33517,707167,"I","06/09/2017 00:00:00",76,"M","Outside/Open Areas",201706
201706,16,0,33518,707169,"D","06/16/2017 00:00:00",55,"M","Outside/Open Areas",201706
201706,16,0,33519,707169,"D","06/16/2017 00:00:00",55,"F","Permanent Structure",201706
201706,20,0,33527,707173,"D","06/20/2017 00:00:00",42,"M","Unknown",201706
201706,20,0,33528,707173,"D","06/20/2017 00:00:00",41,"M","Unknown",201706
201706,17,0,33520,707173,"D","06/17/2017 00:00:00",34,"M","Outside/Open Areas",201706
201706,18,0,33521,707173,"I","06/18/2017 00:00:00",52,"M","Outside/Open Areas",201706
201706,20,0,33526,707173,"I","06/20/2017 00:00:00",57,"M","Outside/Open Areas",201706
201706,22,0,33529,707173,"D","06/22/2017 00:00:00",79,"M","Outside/Open Areas",201706
201706,25,0,33535,707173,"D","06/25/2017 00:00:00",49,"M","Outside/Open Areas",201706
201706,28,0,33537,707173,"D","06/28/2017 00:00:00",37,"M","Outside/Open Areas",201706
201706,19,0,33522,707173,"D","06/19/2017 00:00:00",68,"M","Permanent Home",201706
201706,19,0,33523,707173,"D","06/19/2017 00:00:00",36,"F","Permanent Home",201706
201706,19,0,33524,707173,"D","06/19/2017 00:00:00",69,"F","Permanent Home",201706
201706,19,0,33525,707173,"I","06/19/2017 00:00:00",77,"M","Permanent Home",201706
201706,23,0,33530,707173,"D","06/23/2017 00:00:00",69,"F","Permanent Home",201706
201706,23,0,33531,707173,"D","06/23/2017 00:00:00",73,"F","Permanent Home",201706
201706,24,0,33532,707173,"D","06/24/2017 00:00:00",52,"M","Permanent Home",201706
201706,24,0,33533,707173,"D","06/24/2017 00:00:00",73,"M","Permanent Home",201706
201706,24,0,33534,707173,"D","06/24/2017 00:00:00",61,"F","Permanent Home",201706
201706,26,0,33536,707173,"D","06/26/2017 00:00:00",70,"M","Permanent Home",201706
201706,30,0,33539,707174,"D","06/30/2017 00:00:00",43,"M","Outside/Open Areas",201706
201706,30,0,33538,707174,"D","06/30/2017 00:00:00",69,"M","Permanent Home",201706
201706,7,0,33545,707691,"I","06/07/2017 00:00:00",1,"F","Vehicle/Towed Trailer",201706
201706,7,0,33546,707691,"I","06/07/2017 00:00:00",2,"F","Vehicle/Towed Trailer",201706
201706,24,0,33552,708125,"D","06/24/2017 00:00:00",71,"M","Outside/Open Areas",201706
201706,11,0,33593,709697,"I","06/11/2017 00:00:00",46,"M","Outside/Open Areas",201706
201706,23,0,33558,709859,"D","06/23/2017 00:00:00",3,"M","Vehicle/Towed Trailer",201706
201706,25,0,33596,709875,"D","06/25/2017 00:00:00",14,"M","In Water",201706
201706,27,0,33600,709890,"D","06/27/2017 00:00:00",34,"M","Heavy Equipment/Construction",201706
201706,21,0,33566,709930,"D","06/21/2017 00:00:00",10,"M","Outside/Open Areas",201706
201706,23,0,33565,709932,"D","06/23/2017 00:00:00",57,"M","In Water",201706
201706,22,0,33603,711723,"I","06/22/2017 00:00:00",30,"M","In Water",201706
201704,2,0,33281,691827,"D","04/02/2017 00:00:00",55,"F","Permanent Home",201704
201705,21,0,33325,698272,"I","05/21/2017 00:00:00",14,"M","Outside/Open Areas",201705
201705,19,0,33327,698402,"I","05/19/2017 00:00:00",22,"M","Vehicle/Towed Trailer",201705
201705,5,0,33395,699896,"D","05/05/2017 00:00:00",46,"F","Vehicle/Towed Trailer",201705
201705,16,0,33549,702632,"D","05/16/2017 00:00:00",53,"M","Vehicle/Towed Trailer",201705
201705,28,0,33462,703403,"D","05/28/2017 00:00:00",35,"M","In Water",201705
201704,30,0,33183,683065,"D","04/30/2017 00:00:00",43,"F","Under Tree",201704
201704,29,0,33255,683249,"D","04/29/2017 00:00:00",57,"M","Other",201704
201704,29,0,33256,683249,"D","04/29/2017 00:00:00",51,"M","Permanent Home",201704
201704,29,0,33259,683254,"D","04/29/2017 00:00:00",39,"M","Vehicle/Towed Trailer",201704
201704,29,0,33260,683254,"D","04/29/2017 00:00:00",49,"F","Vehicle/Towed Trailer",201704
201704,14,0,33190,683848,"D","04/14/2017 00:00:00",33,"M","Outside/Open Areas",201704
201704,14,0,33191,683848,"D","04/14/2017 00:00:00",,"M","Outside/Open Areas",201704
201704,11,0,33295,688401,"D","04/11/2017 00:00:00",,"","Outside/Open Areas",201704
201704,26,0,33217,688957,"D","04/26/2017 00:00:00",65,"F","Vehicle/Towed Trailer",201704
201704,14,0,33220,689460,"D","04/14/2017 00:00:00",1,"M","Vehicle/Towed Trailer",201704
201704,16,0,33228,691029,"D","04/16/2017 00:00:00",31,"M","In Water",201704
201704,29,0,33233,691311,"D","04/29/2017 00:00:00",72,"F","Vehicle/Towed Trailer",201704
201704,30,0,33265,691312,"D","04/30/2017 00:00:00",18,"M","Vehicle/Towed Trailer",201704
201704,29,0,33310,691624,"D","04/29/2017 00:00:00",10,"F","Outside/Open Areas",201704
201704,29,0,33309,691629,"D","04/29/2017 00:00:00",76,"M","Vehicle/Towed Trailer",201704
201704,29,0,33314,691732,"D","04/29/2017 00:00:00",2,"F","Vehicle/Towed Trailer",201704
201704,29,0,33315,691732,"D","04/29/2017 00:00:00",4,"M","Vehicle/Towed Trailer",201704
201704,28,0,33262,692706,"D","04/28/2017 00:00:00",,"M","In Water",201704
201704,15,0,33266,693378,"D","04/15/2017 00:00:00",8,"M","In Water",201704
201704,8,0,33267,693379,"D","04/08/2017 00:00:00",16,"M","In Water",201704
201704,2,0,33268,693388,"D","04/02/2017 00:00:00",27,"M","In Water",201704
201704,30,0,33274,694328,"D","04/30/2017 00:00:00",2,"F","Outside/Open Areas",201704
201704,2,0,33276,694736,"D","04/02/2017 00:00:00",38,"F","Mobile/Trailer Home",201704
201704,2,0,33277,694736,"D","04/02/2017 00:00:00",3,"F","Mobile/Trailer Home",201704
201704,6,0,33298,696080,"D","04/06/2017 00:00:00",66,"F","Permanent Home",201704
201704,7,0,33296,696351,"I","04/07/2017 00:00:00",67,"M","Under Tree",201704
201704,7,0,33299,696357,"I","04/07/2017 00:00:00",56,"M","Boating",201704
201704,29,0,33308,697023,"D","04/29/2017 00:00:00",73,"F","Vehicle/Towed Trailer",201704
201704,29,0,33313,697038,"D","04/29/2017 00:00:00",24,"F","Outside/Open Areas",201704
201703,7,0,33219,689229,"I","03/07/2017 00:00:00",57,"M","Outside/Open Areas",201703
201703,2,0,33222,690043,"D","03/02/2017 00:00:00",50,"M","Under Tree",201703
201703,22,0,33224,690389,"D","03/22/2017 00:00:00",,"M","Under Tree",201703
